Sample,Long,Lat
WW_UAM87093.CEL,-160.808,62.204
WW_UAM87092.CEL,-160.764496,67.890492
WW_UAM87939.CEL,-155.597,62.956
WW_UAM87094.CEL,-149.604,68.633
WW_UAM87965.CEL,-148.04,62.061
WW_UAM63745.CEL,-147.866,66.316
9561_CLU_AK,-147.541987,63.127863
9558_CLU_AK,-147.446068,63.182282
9560_CLU_AK,-147.446068,63.182282
9557_CLU_AK,-147.427834,63.257603
WW_KNP04.CEL,-140.52,65.12
WW_KNP19.CEL,-139.75,60.83
WW_27607.CEL,-137.38,60.1
WW_AK9203.CEL,-137.333,68.817
WW_PMY03.CEL,-135.83,63.58
WW_PMY04.CEL,-135.2,60.9
TT_TU9204.CEL,-133.595031,69.506251
WW_PMY41155.CEL,-132.13,60.22
WW_PMY02.CEL,-130.12,61.58
WW_PMY09.CEL,-128.22,60.08
WW_NW32.CEL,-126.82,65.27
WW_NW09.CEL,-125.568972,64.902413
WW_Y48.CEL,-120.92,56.23
WW_MP9301.CEL,-134.833,67.667
TT_IN9312.CEL,-132.667,68.117
3132_CLU_CANADA-FG,-126.117,67.033
WW_UAM36555.CEL,-124.25,57.083
2049_CLU_CANADA-FW,-123.417,63.217
2363_CLU_CANADA-TaW,-123.097408,65.024448
2048_CLU_CANADA-FW,-121.217,61.25
6484_CLU_CANADA-FB,-118.767,61.83259
2131_CLU_CANADA-TuG,-118.103784,66.965266
2144_CLU_CANADA-TuW,-117.969887,67.117182
2052_CLU_CANADA-FW,-117.467,62.133
BF_MARCO006.CEL,-117.433,56.233
2043_CLU_CANADA-FG,-117.033,60.95
6505.CEL,-116.65,62.033
BF_MARCO017.CEL,-115.25,56.55
2042_CLU_CANADA-FBG,-114.833,60.583
2056_CLU_CANADA-FG,-111.883,59
6499.CEL,-111.883,60
6515.CEL,-111.261103,56.625083
6508.CEL,-111.255691,55.655097
6501.CEL,-111.188165,56.729745
6509.CEL,-111.173706,56.641416
BF_PBQ-943.CEL,-108.43,54.13
BF_GOP-360.CEL,-108.15,55.17
BF_PP7.CEL,-106.930343,53.962094
BF_GWC-799.CEL,-105.293334,55.103229
BF_WMB03-13.CEL,-102.02,57.08
TT_PBO-887.CEL,-101.482387,58.623417
BF_PBO-778.CEL,-101.37,54.58
BF_PP4.CEL,-100.073547,50.848189
BF_BM8-008.CEL,-98.62,54.9
11226.CEL,-94.45,49.81
BF_PBG-652.CEL,-94.2,56.45
BF_AXI-897.CEL,-87.63,55.98
HA_SH023.CEL,-125.720681,71.983433
HA_SHN978-17.CEL,-121.925,73.44
HA_SH035.CEL,-116.41939,73.856995
HA_HW60.CEL,-116.071472,71.197435
HA_MARCO126.CEL,-114,69.383
HA_HW65.CEL,-110.543228,72.538139
HA_CB215.CEL,-104.353608,68.939125
TT_TA153.CEL,-93.3,69.62
HA_GF208.CEL,-85.42,77.22
HA_GF44.CEL,-84.26,77.19
HA_GF210.CEL,-82.5,75.53
HA_II163.CEL,-85.17,73.03
HA_II10.CEL,-81.48,70.2
HA_HB25.CEL,-77.16475,69.843516
HA_CR26.CEL,-71.292181,68.497529
HA_PG67.CEL,-71.106339,65.937813
HA_KI09.CEL,-69.324519,62.681138
CI_UAM24979.CEL,-134,56.583
CI_UAM43378.CEL,-133.5,56.75
CI_UAM47418.CEL,-132.967505,57.062266
CI_UAM24893.CEL,-132,55.75
3757_CLU_BC,-124.25,49.08
11228.CEL,-88.11,49.08
9511.CEL,-76.739956,55.978964
9510.CEL,-76.720127,56.007989
9502_CLU_NQUE-U,-76.68773,56.031699
9515.CEL,-76.685606,55.936969
9512.CEL,-76.658082,56.07267
11232_CLU_NQUE-I,-72.012857,58.756188
9499.CEL,-72.002454,58.675548
11234_CLU_NQUE-I,-71.981011,58.601851
9496.CEL,-71.921328,58.576515
AF_K094870.CEL,-68.42,58.16
AF_PXY-414.CEL,-64.019647,53.543431
AF_BAF-117.CEL,-59.784318,54.904696
AF_CVK-168.CEL,-58.432799,54.177746
AF_BAO-873.CEL,-56.453732,51.747733
