Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
ALB39,D. melanogaster,SRX891940,33.27,-86.47,9.1,OOA,OOA,OOA_1-anc10
ALS17,D. melanogaster,SRX891929,33.289,-86.489,1.3,OOA,OOA,OOA_1-anc10
Ark,D. melanogaster,SRR21846154,35.201,-91.8318,12,OOA,OOA,OOA_1-anc10
B04,D. melanogaster,SRR1662283,39.9042,116.4074,12.2,OOA,OOA,Beijing-anc14
B05,D. melanogaster,SRX765991,39.9042,116.4074,11.9,OOA,OOA,Beijing-anc14
B10,D. melanogaster,SRR1663529,39.9042,116.4074,11.9,OOA,OOA,Beijing-anc14
B11,D. melanogaster,SRX765993,39.9042,116.4074,11.4,OOA,OOA,Beijing-anc14
B12,D. melanogaster,SRR1663531,39.9042,116.4074,12.6,OOA,OOA,Beijing-anc14
B14,D. melanogaster,SRX766070,39.9042,116.4074,11.5,OOA,OOA,Beijing-anc14
B23,D. melanogaster,SRX766071,39.9042,116.4074,10.5,OOA,OOA,Beijing-anc14
B28,D. melanogaster,SRX766074,39.9042,116.4074,11.4,OOA,OOA,Beijing-anc14
B38,D. melanogaster,SRX766072,39.9042,116.4074,11.7,OOA,OOA,Beijing-anc14
B42,D. melanogaster,SRX766073,39.9042,116.4074,11.3,OOA,OOA,Beijing-anc14
B43,D. melanogaster,SRX766075,39.9042,116.4074,11.1,OOA,OOA,Beijing-anc14
B51,D. melanogaster,SRX766076,39.9042,116.4074,10.8,OOA,OOA,Beijing-anc14
B52,D. melanogaster,SRX766077,39.9042,116.4074,11.7,OOA,OOA,Beijing-anc14
B54,D. melanogaster,SRR1663540,39.9042,116.4074,12.2,OOA,OOA,Beijing-anc14
B59,D. melanogaster,SRX766079,39.9042,116.4074,10.5,OOA,OOA,Beijing-anc14
BEI10,D. melanogaster,SRX891967,25.45,-77.51,9.9,OOA,OOA,OOA_1-anc10
BEI23,D. melanogaster,SRX891968,25.45,-77.51,18,OOA,OOA,OOA_1-anc10
BHW11,D. melanogaster,SRX891954,26.3,-77.51,11.7,OOA,OOA,OOA_1-anc10
BHW16,D. melanogaster,SRX891959,26.3,-77.51,9.1,OOA,OOA,OOA_1-anc10
CK1,D. melanogaster,SRR189038,0.51,25.19,33.6,West,AFR2,East-anc4
CK2,D. melanogaster,SRR189040,0.51,25.19,34.6,West,OOA,OOA_minor_1-anc11
CO10N,D. melanogaster,SRR189044,6.25,10.43,24.9,West,AFR2,West-anc3
CO13N,D. melanogaster,SRR189045,6.25,10.43,32.7,West,AFR2,West-anc3
CO14,D. melanogaster,SRR189046,6.25,10.43,24.6,West,AFR2,West-anc3
CO15N,D. melanogaster,SRR189047,6.25,10.43,36.2,West,AFR2,West-anc3
CO16,D. melanogaster,SRR189048,6.25,10.43,25.3,West,AFR2,West-anc3
CO1,D. melanogaster,SRR189041,6.25,10.43,30.2,West,AFR2,West-anc3
CO2,D. melanogaster,SRX058155,6.25,10.43,33.3,West,AFR2,West-anc3
CO8N,D. melanogaster,SRX058158,6.25,10.43,30.6,West,AFR2,West-anc3
CO9N,D. melanogaster,SRX058159,6.25,10.43,32.1,West,AFR2,West-anc3
RAL801,D. melanogaster,SRR835341,35.7596,-79.0193,40.4,OOA,OOA,OOA_1-anc10
DRM11,D. melanogaster,SRR21846153,-15.749997,29.333332,56.9,South,AFR1,South_1-anc13
