chr	start	end	pop1	pop2	metric	value
chr2L	2	10001	AFR1	.	pi	0.0196835
chr2L	2	10001	AFR2	.	pi	0.056411
chr2L	2	10001	OOA	.	pi	0.480622
chr2L	2	10001	AFR2	AFR1	Dxy	0.0382723
chr2L	2	10001	OOA	AFR1	Dxy	0.400453
chr2L	2	10001	OOA	AFR2	Dxy	0.404313
chr2L	10002	20001	AFR1	.	pi	0.100848
chr2L	10002	20001	AFR2	.	pi	0.125776
chr2L	10002	20001	OOA	.	pi	0.00959222
chr2L	10002	20001	AFR2	AFR1	Dxy	0.113174
chr2L	10002	20001	OOA	AFR1	Dxy	0.0574462
chr2L	10002	20001	OOA	AFR2	Dxy	0.0713261
chr2L	40002	50001	AFR1	.	pi	0.13941
chr2L	40002	50001	AFR2	.	pi	0.232759
chr2L	40002	50001	OOA	.	pi	0.23464
chr2L	40002	50001	AFR2	AFR1	Dxy	0.207961
chr2L	40002	50001	OOA	AFR1	Dxy	0.217308
chr2L	40002	50001	OOA	AFR2	Dxy	0.234135
chr2L	50002	60001	AFR1	.	pi	0.330797
chr2L	50002	60001	AFR2	.	pi	0.257123
chr2L	50002	60001	OOA	.	pi	0.115831
chr2L	50002	60001	AFR2	AFR1	Dxy	0.311383
chr2L	50002	60001	OOA	AFR1	Dxy	0.244857
chr2L	50002	60001	OOA	AFR2	Dxy	0.210312
chr2L	60002	70001	AFR1	.	pi	0.0965692
chr2L	60002	70001	AFR2	.	pi	0.234449
chr2L	60002	70001	OOA	.	pi	0.379605
chr2L	60002	70001	AFR2	AFR1	Dxy	0.211373
chr2L	60002	70001	OOA	AFR1	Dxy	0.351926
chr2L	60002	70001	OOA	AFR2	Dxy	0.330558
chr2L	70002	80001	AFR1	.	pi	0.451711
chr2L	70002	80001	AFR2	.	pi	0.196244
chr2L	70002	80001	OOA	.	pi	0.0736102
chr2L	70002	80001	AFR2	AFR1	Dxy	0.391173
chr2L	70002	80001	OOA	AFR1	Dxy	0.381556
chr2L	70002	80001	OOA	AFR2	Dxy	0.143067
chr2L	80002	90001	AFR1	.	pi	0.261066
chr2L	80002	90001	AFR2	.	pi	0.191301
chr2L	80002	90001	OOA	.	pi	0.0824755
chr2L	80002	90001	AFR2	AFR1	Dxy	0.283344
chr2L	80002	90001	OOA	AFR1	Dxy	0.229604
chr2L	80002	90001	OOA	AFR2	Dxy	0.144017
chr2L	90002	100001	AFR1	.	pi	0.023113
chr2L	90002	100001	AFR2	.	pi	0.220723
chr2L	90002	100001	OOA	.	pi	0.218633
chr2L	90002	100001	AFR2	AFR1	Dxy	0.135717
chr2L	90002	100001	OOA	AFR1	Dxy	0.134174
chr2L	90002	100001	OOA	AFR2	Dxy	0.222122
chr2L	100002	110001	AFR1	.	pi	0.00390625
chr2L	100002	110001	AFR2	.	pi	0.0284653
chr2L	100002	110001	OOA	.	pi	0.408259
chr2L	100002	110001	AFR2	AFR1	Dxy	0.0162854
chr2L	100002	110001	OOA	AFR1	Dxy	0.28553
chr2L	100002	110001	OOA	AFR2	Dxy	0.290885
chr2L	110002	120001	AFR1	.	pi	0.190676
chr2L	110002	120001	AFR2	.	pi	0.304826
chr2L	110002	120001	OOA	.	pi	0.156927
chr2L	110002	120001	AFR2	AFR1	Dxy	0.258236
chr2L	110002	120001	OOA	AFR1	Dxy	0.226695
chr2L	110002	120001	OOA	AFR2	Dxy	0.282863
chr2L	120002	130001	AFR1	.	pi	0.0693952
chr2L	120002	130001	AFR2	.	pi	0.116443
chr2L	120002	130001	OOA	.	pi	0.309558
chr2L	120002	130001	AFR2	AFR1	Dxy	0.0938774
chr2L	120002	130001	OOA	AFR1	Dxy	0.228932
chr2L	120002	130001	OOA	AFR2	Dxy	0.249114
chr2L	130002	140001	AFR1	.	pi	0.243847
chr2L	130002	140001	AFR2	.	pi	0.269031
chr2L	130002	140001	OOA	.	pi	0.100124
chr2L	130002	140001	AFR2	AFR1	Dxy	0.291568
chr2L	130002	140001	OOA	AFR1	Dxy	0.191983
chr2L	130002	140001	OOA	AFR2	Dxy	0.212595
chr2L	160002	170001	AFR1	.	pi	0.235044
chr2L	160002	170001	AFR2	.	pi	0.165226
chr2L	160002	170001	OOA	.	pi	0.147694
chr2L	160002	170001	AFR2	AFR1	Dxy	0.203612
chr2L	160002	170001	OOA	AFR1	Dxy	0.19941
